setting;degrader number;degrader (mg/cm2);main isotopes (yield (/h));overlapping isotopes (yield (/h))
heavy;1;3600;206Au(11.5);207Hg(26.65)_197Pt(0.84)_200Pt(0.94)_202Au(216.6)_196Ir(0.2)_195Ir(0.59)_200Ir(1.35)_201Pt(114.3)
heavy;2;3670;204Pt(7.92);193Os(0.52)_199Pt(47.93)_200Pt(79.82)_203Pt(0.81)_194Ir(0.63)_198Os(0.12)_205Au(128.79)_204Au(1.18)_199Ir(4.01)_198Ir(5.74)
heavy;3;3710;203Pt(55.83);192Os(0.29)_197Os(1.09)_199Pt(5.7)_204Pt(0.23)_202Ir(0.29)_205Au(0.28)_204Au(11.43)_198Ir(11.87)
heavy;4;3780;202Pt(34.72)_201Ir(14.13);190Re(0.43)_195Re(0.3)_191Os(0.81)_196Ir(13.11)_197Ir(40.49)_200Ir(0.21)_196Os(3.46)_195Os(2.64)
heavy;5;3740;202Ir(1.99);192Os(0.78)_197Os(0.45)_202Pt(2.19)_201Ir(0.33)_203Pt(6.29)_197Ir(16.92)_204Au(0.3)_198Ir(0.11)_196Os(1.97)
heavy;6;3805;200Ir(7.88)_200Os(0.53);202Pt(3.09)_201Ir(2.35)_190Re(0.15)_194Re(0.26)_195Re(0.13)_191Os(0.19)_194Os(0.1)_196Ir(5.02)_197Ir(1.12)_195Os(14.14)
heavy;7;3845;199Os(1.39);193Re(0.58)_194Re(0.69)_189Re(0.59)_194Os(17.37)_200Ir(3.55)_195Os(0.28)
heavy;8;3655;199Ir(8.97);193Os(0.22)_199Pt(13.84)_204Pt(4.14)_200Pt(252.83)_194Ir(0.23)_205Au(156.85)_198Ir(0.55)
heavy;9;3890;198Os(3.23);193Os(3.43)_193Re(2.14)_187W(0.33)_188Re(0.29)_192Re(1.29)_192W(0.16)_194Os(0.35)_199Ir(0.4)
heavy;10;3935;197Os(1.4);192Re(3.83)_191Re(1.0)_191W(0.53)_196Re(0.29)_197Re(0.48)
heavy;11;3920;197Re(0.88);193Os(0.71)_197Os(0.8)_192Re(8.37)_198Os(0.34)_191W(0.15)
medium;1;3735;198Ir(5.63);199Ir(0.38)_197Os(2.69)_197Re(0.46)_198Os(3.44)_194Os(0.49)_193Os(4.35)_192Re(4.08)
medium;2;3720;198Os(7.07);199Ir(4.74)_197Os(0.21)_198Ir(2.9)_197Re(0.1)_194Os(4.01)_193Os(2.9)_193Re(0.34)_192Re(1.02)
medium;3;3760;197Os(14.66);196Re(0.32)_198Ir(1.33)_197Re(0.46)_191W(0.11)_196Os(0.1)_193Os(0.74)_192Re(3.24)_191Re(0.52)
medium;4;3790;196Re(3.21);197Os(1.68)_190W(0.23)_196Os(9.95)_191Re(6.7)
medium;5;3835;195Re(7.25);190W(0.33)_190Re(1.46)_194Re(0.13)_196Os(1.69)_195Os(1.88)_189W(0.52)
medium;6;3870;194W(0.47)_194Re(7.69);195Re(0.19)_188Ta(0.19)_190Re(0.11)_195Os(1.23)_189W(2.56)
medium;7;3910;193W(1.52);194Re(0.38)_187Ta(0.28)_193Re(6.52)_188W(3.92)
medium;8;3950;192W(2.6);187W(0.38)_186Ta(0.16)_187Ta(0.53)_193Re(0.9)_192Re(0.48)
medium;9;3990;191Ta(0.56);185Hf(0.17)_186Ta(1.4)_191W(2.39)_192Re(0.24)
medium;10;4030;190Ta(1.37);185Hf(0.1)_190W(0.92)_185Ta(2.02)_184Hf(0.15)
medium;11;4070;189Ta(1.74);184Ta(0.25)_190W(0.12)_189Hf(0.11)_184Hf(0.48)
medium;12;4120;188Ta(1.24);188Hf(0.22)_182Lu(0.11)_183Hf(0.41)
light;1;3970;;190W(0.31)_184Hf(0.18)_189Ta(2.46)_189W(0.23)_184Ta(0.28)
light;2;3970;189Ta(2.46);190W(0.31)_184Hf(0.18)_189W(0.23)_184Ta(0.28)
light;3;4020;188Ta(3.37);183Hf(0.29)_187Hf(0.11)_188Hf(0.21)
